15 6833 25833
0 320 0.00247397 -0.197102
1 320 0.0244787 -0.232559
0 321 -0.0134184 -0.186098
1 321 0.0085864 -0.224
0 40 -0.145447 -0.183653
0 322 -0.0134184 -0.183653
1 322 0.00980889 -0.21911
0 322 -0.0121959 -0.181208
0 323 -0.085545 -0.171427
1 323 -0.0623178 -0.215442
0 324 -0.00241596 -0.165314
1 324 0.0183663 -0.204438
0 47 0.0134763 -0.165314
0 46 0.00125147 -0.162868
0 325 -0.118552 -0.161646
1 325 -0.0953249 -0.209328
0 326 0.00247397 -0.157978
1 326 0.0232562 -0.197102
0 53 0.0318136 -0.153087
0 327 0.0342586 -0.149419
1 327 0.0538183 -0.188544
0 55 -0.0745426 -0.143306
0 328 -0.0941024 -0.138416
1 328 -0.0720977 -0.186098
0 329 -0.0464255 -0.137193
1 329 -0.0244207 -0.179985
0 330 -0.0684302 -0.13597
1 330 -0.047648 -0.182431
0 331 0.0635983 -0.128635
1 331 0.0900039 -0.146974
0 332 -0.0280882 -0.121299
1 332 -0.00730596 -0.162868
0 333 -0.0464255 -0.115186
1 333 -0.0256432 -0.160423
0 334 0.0697107 -0.113963
1 334 0.0843805 -0.162868
0 335 -0.042758 -0.11274
1 335 -0.0231982 -0.157978
0 336 0.149172 -0.109072
1 336 0.166287 -0.14404
0 64 0.083158 -0.105405
0 58 0.0746006 -0.0992914
0 68 -0.0574278 -0.0968461
0 69 -0.0170858 -0.0968461
0 337 -0.0219757 -0.0944008
1 337 -0.00241596 -0.138416
0 338 0.149172 -0.0919556
1 338 0.166287 -0.126189
0 339 -0.0183083 -0.0907329
1 339 0.00125147 -0.13597
0 340 -0.00852839 -0.0895103
1 340 0.0110313 -0.133525
0 341 0.0061414 -0.087065
1 341 0.0252937 -0.129246
0 74 0.0917154 -0.087065
0 73 0.0794905 -0.0846198
0 77 -0.187011 -0.0785066
0 342 0.00369647 -0.0785066
1 342 0.0232562 -0.121299
0 343 -0.183344 -0.077284
1 343 -0.15706 -0.119057
0 344 -0.00119353 -0.077284
1 344 0.0171438 -0.121299
0 75 -0.0378681 -0.0760613
0 345 0.00125147 -0.0748387
1 345 0.0195888 -0.118854
0 346 -0.146669 -0.0711708
1 346 -0.12222 -0.113963
0 347 0.204184 -0.0711708
1 347 0.279245 0.0481583
0 348 0.299538 -0.0687255
1 348 0.31543 -0.100514
0 84 0.278756 -0.0675029
0 349 -0.12222 -0.0662802
1 349 -0.0977699 -0.106627
0 87 -0.118552 -0.0650576
0 350 0.31054 -0.0613897
1 350 0.326433 -0.0919556
0 93 0.0525959 -0.0589445
0 351 0.303205 -0.0577218
1 351 0.319098 -0.0907329
0 241 0.254306 -0.0564992
0 352 0.311763 -0.0516086
1 352 0.326433 -0.0833971
0 96 -0.245691 -0.0491634
0 97 -0.242023 -0.0491634
0 353 0.243304 -0.0491634
1 353 0.259196 -0.0797292
0 354 0.295871 -0.0491634
1 354 0.311763 -0.0797292
0 355 0.31543 -0.0479407
1 355 0.3301 -0.0809518
0 101 -0.0769876 -0.0467181
0 102 -0.0733202 -0.0454955
0 356 0.299538 -0.0454955
1 356 0.31543 -0.0748387
0 357 0.289758 -0.0442728
1 357 0.304428 -0.0762651
0 103 -0.0708752 -0.0430502
0 356 0.299538 -0.0430502
0 358 0.00369647 -0.0418276
1 358 0.0265131 -0.0667426
0 359 0.11861 -0.0418276
1 359 0.134502 -0.0858424
0 360 -0.116107 -0.0381597
1 360 -0.0928799 -0.0821745
0 108 -0.109995 -0.0357144
0 108 -0.10755 -0.0357144
0 361 0.326433 -0.0357144
1 361 0.340858 -0.0692146
0 362 -0.124665 -0.0344918
1 362 -0.101437 -0.077284
0 363 0.32521 -0.0283786
1 363 0.33988 -0.063835
0 364 -0.100215 -0.0247107
1 364 -0.0786176 -0.0701519
0 365 0.328878 -0.023488
1 365 0.342325 -0.0589445
0 111 0.0049189 -0.0222654
0 366 -0.0965474 -0.0185975
1 366 -0.0769876 -0.063835
0 367 0.0085864 -0.0173749
1 367 0.0303874 -0.0497747
0 368 -0.0953249 -0.0161522
1 368 -0.0742982 -0.0574773
0 369 0.12839 -0.0161522
1 369 0.139881 -0.0633459
0 112 -0.0782101 -0.0124844
0 115 -0.116107 -0.0112617
0 370 0.0489284 -0.0112617
1 370 0.0648208 -0.0564992
0 371 -0.0586503 -0.00514854
1 371 -0.0399056 -0.0487558
0 372 -0.0757651 -0.00148063
1 372 -0.0537604 -0.0398714
0 118 -0.0782101 0.0034099
0 373 -0.0818776 0.00830045
1 373 -0.0598728 -0.0320465
0 374 0.150395 0.00952307
1 374 0.16751 -0.0222654
0 375 0.309318 0.00952307
1 375 0.323254 -0.0296012
0 376 0.257973 0.0119683
1 376 0.273377 -0.0193311
0 125 0.13328 0.0144136
0 377 0.242081 0.0156362
1 377 0.258707 -0.0149296
0 378 -0.0708752 0.0168589
1 378 -0.0490742 -0.0212466
0 379 0.0733781 0.0168589
1 379 0.0900039 -0.0237326
0 380 0.232301 0.0168589
1 380 0.246971 -0.0173749
0 125 0.13328 0.0180815
0 126 0.168732 0.0180815
0 127 -0.0831001 0.0193041
0 381 -0.0696527 0.0217494
1 381 -0.0480555 -0.0171711
0 382 0.250639 0.0217494
1 382 0.266531 -0.0100391
0 383 0.273866 0.0217494
1 383 0.260174 -0.0809518
0 381 -0.0672077 0.0229721
0 130 0.249416 0.0254173
0 384 0.260418 0.0254173
1 384 0.276311 -0.00637118
0 385 0.270198 0.0327531
1 385 0.284053 -0.0018882
0 386 0.255529 0.0339758
1 386 0.271421 0.000964636
0 386 0.257973 0.036421
0 134 -0.0843225 0.0376437
0 387 0.283646 0.0413116
1 387 0.295871 0.00218728
0 136 0.262863 0.0425342
0 388 0.272643 0.0462021
1 388 0.287109 0.011357
0 389 0.262863 0.0486474
1 389 0.277941 0.0123759
0 390 0.272643 0.04987
1 390 0.287109 0.0144136
0 138 0.264086 0.0523153
0 140 0.265308 0.0559832
0 391 0.277533 0.0572058
1 391 0.289758 0.0193041
0 392 -0.0610953 0.0608737
1 392 -0.0470367 -0.00290706
0 142 2.89711e-05 0.0620963
0 393 0.268976 0.0669869
1 393 0.281201 0.0278626
0 394 -0.0720977 0.0694322
1 394 -0.0602803 0.00218725
0 395 0.283646 0.0718774
1 395 0.295871 0.0327531
0 147 0.275088 0.0743227
0 396 0.275088 0.0792132
1 396 0.287313 0.0400889
0 148 0.231079 0.0804359
0 149 0.234746 0.0804359
0 150 0.238414 0.0828811
0 397 0.292203 0.0828811
1 397 0.303205 0.0437568
0 398 -0.0415355 0.0841038
1 398 -0.0307369 0.0133947
0 399 0.271421 0.0841038
1 399 0.283646 0.0449795
0 400 0.262863 0.086549
1 400 0.274885 0.0449794
0 401 0.276311 0.0902169
1 401 0.287313 0.0486474
0 402 0.257973 0.0914396
