9 9190 39712
0 243 0.516325 0.0582247
1 243 0.383889 0.127507
0 244 0.52855 0.0582247
1 244 0.402227 0.126488
0 245 0.519382 0.0612812
1 245 0.387964 0.130564
0 246 0.304428 0.0623001
1 246 0.187273 0.127507
0 247 0.521419 0.0623001
1 247 0.391224 0.130564
0 248 0.519382 0.0653567
1 248 0.390002 0.13362
0 249 0.398152 0.0663755
1 249 0.269791 0.132602
0 250 -0.128536 0.0673944
1 250 -0.233466 0.126488
0 251 0.497988 0.0673944
1 251 0.368608 0.135658
0 252 0.395096 0.0694321
1 252 0.267753 0.137696
0 253 0.404264 0.070451
1 253 0.277941 0.137696
0 254 0.524475 0.070451
1 254 0.398559 0.1379
0 255 0.400189 0.0724887
1 255 0.272847 0.139734
0 256 0.468445 0.0724887
1 256 0.338046 0.140752
0 257 0.353327 0.0735076
1 257 0.23006 0.139734
0 258 0.404264 0.0735076
1 258 0.276922 0.140752
0 259 -0.0786176 0.0745264
1 259 -0.186604 0.135658
0 260 0.382871 0.0745264
1 260 0.256547 0.141771
0 261 0.465389 0.0745264
1 261 0.33499 0.14279
0 262 0.354346 0.0755453
1 262 0.231079 0.141771
0 263 0.410377 0.0755453
1 263 0.280997 0.14279
0 264 0.417508 0.0765642
1 264 0.288128 0.143809
0 265 0.121055 0.0786019
1 265 -0.0236058 0.145847
0 265 0.123093 0.0786019
0 266 0.393058 0.0786019
1 266 0.264697 0.144828
0 267 0.207648 0.0796207
1 267 0.0753341 0.146458
0 268 0.413433 0.0816585
1 268 0.284053 0.148903
0 269 0.432789 0.0816585
1 269 0.303409 0.148903
0 270 0.429733 0.0826773
1 270 0.299334 0.149922
0 271 0.494932 0.0836962
1 271 0.366571 0.150941
0 272 0.107811 0.0847151
1 272 -0.0358306 0.149922
0 273 0.136336 0.0847151
1 273 0.377181 0.110894
0 274 0.202554 0.0847151
1 274 0.0711369 0.149922
0 275 0.486782 0.0847151
1 275 0.358421 0.152979
0 276 0.190329 0.0867528
1 276 0.0501509 0.152571
0 277 0.192367 0.0867528
1 277 0.0507621 0.152979
0 276 0.188292 0.0877716
0 278 0.493913 0.0877716
1 278 0.364533 0.156035
0 279 0.385927 0.0887905
1 279 0.260622 0.155017
0 280 0.395096 0.0887905
1 280 0.268772 0.156035
0 281 0.398152 0.0887905
1 281 0.272847 0.156035
0 282 0.413433 0.0887905
1 282 0.284053 0.155017
0 283 0.486782 0.0887905
1 283 0.360459 0.157054
0 283 0.489838 0.0887905
0 284 0.391021 0.0898094
1 284 0.265716 0.156035
0 281 0.400189 0.0898094
0 285 0.426676 0.0898094
1 285 0.298315 0.157054
0 286 0.21376 0.0908282
1 286 0.0813243 0.157054
0 287 0.395096 0.0908282
1 287 0.267753 0.158073
0 288 0.395096 0.092866
1 288 0.268772 0.160111
0 289 0.402227 0.092866
1 289 0.274885 0.159092
0 290 -0.00119353 0.0938848
1 290 -0.129555 0.158073
0 291 0.405283 0.0938848
1 291 0.278959 0.16113
0 292 0.398152 0.0949037
1 292 0.272847 0.162149
0 292 0.401208 0.0949037
0 293 0.41547 0.0949037
1 293 0.288128 0.16113
0 294 0.487801 0.0949037
1 294 0.360459 0.162149
0 295 0.00899385 0.0959225
1 295 -0.119367 0.160111
0 296 0.412414 0.0959225
1 296 0.285072 0.163167
0 297 0.429733 0.0959225
1 297 0.301372 0.163167
0 298 -0.318021 0.0969414
1 298 -0.422951 0.155017
0 299 0.195423 0.0969414
1 299 0.0619682 0.162149
0 300 0.478632 0.0969414
1 300 0.350271 0.165205
0 301 0.191348 0.0979603
1 301 0.0487246 0.164186
0 302 0.425658 0.0979603
1 302 0.296278 0.164186
0 303 0.427695 0.0979603
1 303 0.299334 0.165205
0 304 0.202554 0.0989791
1 304 0.0701181 0.164186
0 305 0.41547 0.0989791
1 305 0.288128 0.166224
0 306 0.00695638 0.099998
1 306 -0.121405 0.163167
0 307 0.184217 0.099998
1 307 0.0415935 0.166224
0 308 0.42362 0.101017
1 308 0.295259 0.168262
0 309 0.0741931 0.104073
1 309 -0.065374 0.169281
0 310 0.208667 0.104073
1 310 0.0762306 0.169281
0 311 0.00390016 0.105092
1 311 -0.124461 0.168262
0 312 0.137355 0.10713
1 312 -0.003231 0.172337
0 313 -0.395445 0.108149
